id,rating,genre,director,writer,theater_date,runtime,rating_10_point,fresh
1659,NR,Mystery and Suspense,Jean Negulesco,Frank Gruber,,95,7.5,1.0
1660,NR,Science Fiction and Fantasy,David MacDonald,unknown,1955-04-27,76,5.0,0.0
1661,NR,Art House and International|Drama,unknown,Jacques Fieschi|Bernard Minoret,2000-11-17,97,6.5,1.0
1663,NR,Comedy,Dick Maas,Dick Maas,,111,6.2,1.0
1665,R,Action and Adventure|Comedy,Mark Neveldine|Brian Taylor,Brian Taylor|Mark Neveldine,2009-04-17,85,5.8,1.0
1667,PG-13,Comedy|Horror|Science Fiction and Fantasy,Thom Eberhardt,Thom Eberhardt,1984-11-16,95,6.3,1.0
1668,NR,Comedy|Drama|Musical and Performing Arts,unknown,unknown,,100,6.2,1.0
1669,R,Drama,Matthew Heineman,Arash Amel,,106,6.8,1.0
1671,NR,Documentary|Musical and Performing Arts,Jeremiah Zagar,unknown,2008-03-08,80,6.2,1.0
1672,NR,Classics|Comedy|Western,George Marshall,Felix Jackson|Gertrude Purcell|Henry Myers,1939-12-29,94,7.1,1.0
1673,R,Action and Adventure|Comedy|Drama|Mystery and Suspense,unknown,Gina Goldman|Josh McKinney|Wayne Rice,1997-04-17,106,5.7,0.0
1674,NR,Documentary|Special Interest,Leslie Cockburn,Leslie Cockburn|Andrew Cockburn,,89,6.4,1.0
1677,PG,Comedy|Drama|Kids and Family,Tim McCanlies,Tim McCanlies,2003-09-19,107,6.3,1.0
1678,PG,Action and Adventure|Drama|Mystery and Suspense,Jerry Jameson,Michael Scheff|David Spector,1977-03-11,114,5.2,0.0
1679,NR,Horror,unknown,unknown,,97,5.0,0.0
1680,R,Drama,Josh Mond,Josh Mond,2015-11-13,85,7.0,1.0
1681,NR,Art House and International|Drama,unknown,unknown,1999-01-01,94,6.2,1.0
1682,PG-13,Drama,Clint Eastwood,Dorothy Blyskal,2018-02-09,120,5.1,0.0
1684,PG,Comedy,Alan Metter,Amy Spies,1985-04-12,90,4.3,0.0
1685,R,Drama|Mystery and Suspense,Nick Cassavetes,Nick Cassavetes,2007-01-12,118,5.9,1.0
1686,PG-13,Action and Adventure|Comedy,Les Mayfield,Stephen Carpenter|John Blumenthal|Michael Berry,1999-09-17,90,5.7,0.0
1689,NR,Classics|Drama,Carol Reed,Philip Dunne|Carol Reed,1965-09-16,140,6.7,1.0
1690,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ron Clements|John Musker,Sam Levine|Alex Mann|Ron Clements|John Musker|Rob Edwards,2002-11-27,95,6.6,1.0
1691,R,Drama|Science Fiction and Fantasy,Mike Cahill,Mike Cahill,2014-07-18,107,6.2,1.0
1692,PG,Classics|Drama|Musical and Performing Arts,Claude Whatham,Ray Connolly,1973-01-01,90,4.0,0.0
1693,PG-13,Drama,Ryan Little,David Pliler,2008-09-26,109,6.2,1.0
1695,PG-13,Action and Adventure|Drama|Mystery and Suspense,Paul Greengrass,Tony Gilroy,2004-07-23,108,7.0,1.0
1696,R,Art House and International|Comedy|Drama,Paolo Taviani|Vittorio Taviani,Tonino Guerra|Paolo Taviani|Vittorio Taviani,1984-01-01,188,7.1,1.0
1698,PG,Comedy|Kids and Family,unknown,John Hughes,1993-06-25,94,4.7,0.0
1699,G,Animation|Comedy|Kids and Family,Phil Roman,Dennis Marks,1992-01-01,80,4.2,0.0
1700,NR,Drama,Loc Do,unknown,,119,5.5,0.0
1701,R,Action and Adventure|Drama|Mystery and Suspense,Scott Reynolds,Scott Reynolds,2002-01-01,105,4.8,0.0
1702,PG-13,Documentary|Drama,Robert Towne,Kenny Moore|Robert Towne,1998-09-11,119,6.5,1.0
1703,PG,Art House and International|Classics|Drama,Akira Kurosawa,Akira Kurosawa|Masato Ide,1980-10-10,179,7.4,1.0
1704,PG-13,Drama|Mystery and Suspense,Morten Tyldum,Graham Moore,2014-11-28,114,7.1,1.0
1705,NR,Drama|Television,Ian Madden,Jimmy Gardner,2006-01-13,120,6.2,1.0
1707,PG-13,Action and Adventure|Mystery and Suspense,John Stockwell,Matt Johnson,2005-09-30,110,5.2,0.0
1710,PG-13,Action and Adventure|Classics|Drama,unknown,unknown,1963-12-18,108,6.2,1.0
1711,G,Comedy|Kids and Family,Garry Marshall,Shonda Rhimes,2004-08-11,113,6.2,1.0
1712,NR,Art House and International|Drama,Helma Sanders-Brahms,unknown,1997-01-01,105,6.2,1.0
1713,G,Drama|Romance,Eric Rohmer,unknown,1992-01-29,114,6.2,1.0
1714,NR,Drama,Anahita Ghazvinizadeh,Anahita Ghazvinizadeh,,80,6.2,1.0
1716,NR,Drama,Claude Gagnon,Claude Cagnon,1992-02-06,113,6.2,1.0
1718,PG-13,Drama,Ryan Coogler,Ryan Coogler|Aaron Covington,2015-11-25,132,6.2,1.0
1720,R,Action and Adventure,John Badham,Peter Barsocchini|John Bishop,1994-12-09,101,4.4,0.0
1721,R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,2016-11-18,98,7.2,1.0
1722,PG-13,Action and Adventure|Drama|Mystery and Suspense,Justin Lin,Chris Morgan,2011-04-29,131,6.4,1.0
1723,NR,Action and Adventure|Kids and Family,Karl Zwicky,Harry Cripps,,83,4.0,0.0
1724,R,Action and Adventure|Mystery and Suspense,Lee Tamahori,David Mamet,1997-09-26,117,6.3,1.0
1727,NR,Western,Joseph Santley,Olive Cooper,,71,8.0,1.0
1729,PG-13,Action and Adventure|Art House and International|Classics|Drama,Ridley Scott,Roselyne Bosch,1992-10-09,142,4.7,0.0
1730,PG,Action and Adventure|Comedy|Kids and Family|Science Fiction and Fantasy,John Pasquin,Leo Benvenuti|Steve Rudnick,1994-11-11,97,6.0,1.0
1731,R,Horror,Philippe Mora,Tom Holland,1982-02-12,90,4.9,0.0
1732,R,Action and Adventure|Drama,Peter Medak,Philip Ridley,1990-06-01,119,6.3,1.0
1733,NR,Drama,Nathan Hill,Nick Levy,,90,6.2,1.0
1734,NR,Classics|Drama|Musical and Performing Arts,George Cukor,Gene Allen|Wyatt Cooper,1962-10-05,125,6.2,0.0
1735,NR,Art House and International|Drama,Alain Tanner,Alain Tanner,1983-01-01,108,8.1,1.0
1736,NR,unknown,unknown,unknown,,90,6.2,1.0
1737,R,Horror,Robert Deubel,unknown,,96,5.1,0.0
1738,NR,Drama,Emilio Ferrari,unknown,,120,6.2,1.0
1739,NR,Documentary|Drama|Special Interest,Jayne Loader|Kevin Rafferty|Pierce Rafferty,unknown,1982-03-17,88,7.2,1.0
